+==============+================+===============+
|   Хеш-индекс |           Ключ |      Значение |
+--------------+----------------+---------------+
|            0 |              - |             - |
|            1 |              - |             - |
|            2 |              - |             - |
|            3 |             42 |           915 |
|            4 |             89 |           485 |
|            5 |             24 |            92 |
|            6 |             14 |           665 |
|            7 |              - |             - |
|            8 |              - |             - |
|            9 |             68 |           207 |
|           10 |              - |             - |
|           11 |              - |             - |
|           12 |             88 |           502 |
|           13 |              - |             - |
|           14 |             71 |           656 |
|           15 |             34 |           543 |
|           16 |             81 |            51 |
|           17 |              - |             - |
|           18 |              6 |           313 |
|           19 |             98 |           325 |
|           20 |             45 |           917 |
|           21 |              - |             - |
|           22 |             63 |           705 |
|           23 |              - |             - |
|           24 |              - |             - |
|           25 |              - |             - |
|           26 |             27 |           220 |
|           27 |              - |             - |
|           28 |             73 |           505 |
|           29 |             52 |           899 |
|           30 |             91 |           177 |
|           31 |             26 |           187 |
|           32 |             37 |           381 |
|           33 |             72 |           206 |
|           34 |              - |             - |
|           35 |             90 |            79 |
|           36 |              1 |           635 |
|           37 |              - |             - |
|           38 |             19 |           716 |
|           39 |              - |             - |
|           40 |              - |             - |
|           41 |             44 |           180 |
|           42 |              - |             - |
|           43 |             18 |           874 |
|           44 |              - |             - |
|           45 |             64 |           518 |
|           46 |             47 |           887 |
|           47 |             82 |           510 |
|           48 |             29 |           149 |
|           49 |              - |             - |
|           50 |              - |             - |
|           51 |             46 |            78 |
|           52 |              - |             - |
|           53 |             56 |           127 |
|           54 |             75 |            27 |
|           55 |             10 |           931 |
|           56 |              - |             - |
|           57 |              - |             - |
|           58 |             39 |           356 |
|           59 |             74 |           689 |
|           60 |             49 |           348 |
|           61 |              - |             - |
|           62 |              3 |           676 |
|           63 |             21 |           413 |
|           64 |              - |             - |
|           65 |              - |             - |
|           66 |             67 |           447 |
|           67 |              - |             - |
|           68 |              - |             - |
|           69 |             28 |           291 |
|           70 |              - |             - |
|           71 |             66 |           146 |
|           72 |             13 |           324 |
|           73 |              - |             - |
|           74 |              - |             - |
|           75 |              - |             - |
|           76 |              - |             - |
|           77 |             40 |           745 |
|           78 |              - |             - |
|           79 |             58 |           770 |
|           80 |              - |             - |
|           81 |              - |             - |
|           82 |              - |             - |
|           83 |              - |             - |
|           84 |             33 |           850 |
|           85 |              - |             - |
|           86 |             23 |            86 |
|           87 |              - |             - |
|           88 |             69 |           924 |
|           89 |              - |             - |
|           90 |              - |             - |
|           91 |             22 |            51 |
|           92 |              - |             - |
|           93 |              - |             - |
|           94 |              - |             - |
|           95 |             86 |           563 |
|           96 |              - |             - |
|           97 |             76 |           991 |
|           98 |              - |             - |
|           99 |              - |             - |
+==============+================+===============+
